name,gender
Elaine,F
Oma,F
Iris,F
Bettie,F
Eugenia,F
Rhoda,F
Rosetta,F
Connie,F
Zella,F
Hallie,F
Jimmie,F
Frankie,F
Wilhelmina,F
Lilly,F
Catharine,F
Donna,F
Gwendolyn,F
Lulu,F
Melba,F
Rosemary,F
Willa,F
Maud,F
Christina,F
Merle,F
Natalie,F
Pansy,F
Rosella,F
Elinor,F
Dovie,F
Lenore,F
Cecil,F
Corine,F
Jannie,F
Erna,F
Ione,F
Lily,F
Lona,F
Molly,F
Annabelle,F
Dolly,F
Alyce,F
Imogene,F
Carmela,F
Georgie,F
Isabell,F
Linda,F
Yvonne,F
Eddie,F
Aileen,F
Louella,F
Lucinda,F
Johanna,F
Gertie,F
Golda,F
Iona,F
Alvina,F
Laverne,F
Lura,F
Tessie,F
Bernadine,F
Leora,F
Leota,F
Priscilla,F
Leone,F
Maurine,F
Rubye,F
Isabella,F
Vesta,F
Arline,F
Joyce,F
Leta,F
Louisa,F
Bess,F
Minerva,F
Lettie,F
Linnie,F
Bernadette,F
Elisabeth,F
Loraine,F
Vada,F
Hettie,F
Eleanore,F
Dixie,F
Hortense,F
Maybelle,F
Mona,F
Alpha,F
Cassie,F
Florine,F
Mathilda,F
Nona,F
Rae,F
Gloria,F
Kay,F
Vida,F
Concetta,F
Polly,F
Robbie,F
Sybil,F
Garnet,F
Mittie,F
Blanch,F
Era,F
Fanny,F
Avis,F
Evie,F
Janice,F
Phoebe,F
Verda,F
Elsa,F
Floy,F
Magnolia,F
Cynthia,F
Hulda,F
Orpha,F
Paula,F
Zula,F
Althea,F
Bella,F
Nelle,F
Queen,F
Lauretta,F
Clare,F
Corrine,F
Dorthy,F
Mercedes,F
Agatha,F
Evangeline,F
Idella,F
Philomena,F
Reva,F
Aurelia,F
Monica,F
Alva,F
Beryl,F
Retha,F
Antonia,F
Berniece,F
Cordelia,F
Ester,F
Harriette,F
Ivy,F
Lucia,F
Madelyn,F
Artie,F
Ocie,F
Ona,F
Angie,F
Camille,F
Carmella,F
Eve,F
Guadalupe,F
John,F
Mina,F
Gretchen,F
Madeleine,F
Tommie,F
Mazie,F
Nadine,F
Allene,F
Bobbie,F
Estell,F
Marietta,F
Rhea,F
Elise,F
Magdalene,F
Myrtie,F
Stephanie,F
Glenna,F
Zelda,F
Almeda,F
Hope,F
Mandy,F
Ursula,F
Clyde,F
Johnie,F
Lovie,F
Yetta,F
Zola,F
Georgiana,F
Judith,F
Lida,F
Manuela,F
Meta,F
Sudie,F
Vergie,F
Winona,F
Abbie,F
Lina,F
Una,F
Zora,F
Adell,F
Albertha,F
Ima,F
Julie,F
Margarita,F
Mozelle,F
Suzanne,F
Veda,F
Vernie,F
Beth,F
Elda,F
Joy,F
Marcia,F
Margery,F
Myrtis,F
Octavia,F
Aurora,F
Lue,F
Oleta,F
Ramona,F
Tressie,F
Wilda,F
Albina,F
Audra,F
Delma,F
James,F
Juana,F
Odell,F
Rowena,F
Rubie,F
Tina,F
Easter,F
Ferne,F
Lorna,F
Madie,F
Elena,F
Jacqueline,F
Luvenia,F
Patsy,F
Petra,F
Ray,F
Adela,F
Alene,F
Ava,F
Belva,F
Bennie,F
Claudie,F
Elna,F
Emilia,F
Filomena,F
Malinda,F
Margarette,F
Amie,F
Edwina,F
Emilie,F
Esta,F
Joanna,F
Leatha,F
Savannah,F
Celeste,F
Clementine,F
Earline,F
Eleanora,F
Magdalena,F
Pearle,F
Valerie,F
Altha,F
Bridget,F
Dorotha,F
Elvera,F
Ludie,F
Melvina,F
Nan,F
Rosalind,F
Delphia,F
Ethelyn,F
Freida,F
Melva,F
Roma,F
Valeria,F
Alda,F
Clemmie,F
Diana,F
Dorris,F
Lavina,F
Margret,F
Theo,F
Camilla,F
Joe,F
Marvel,F
Myrtice,F
Nita,F
Queenie,F
Verla,F
Bulah,F
Delores,F
Freddie,F
Georgianna,F
Grayce,F
Gwen,F
Juliette,F
Lennie,F
Lorine,F
Millicent,F
Minna,F
Novella,F
Theodora,F
Vallie,F
Claudine,F
Idell,F
Jo,F
Kitty,F
Pearline,F
Rosina,F
Chloe,F
Crystal,F
Dona,F
Ethyl,F
Francisca,F
Ossie,F
Pinkie,F
Reta,F
Verlie,F
Vina,F
Carolina,F
Charlie,F
Corene,F
Donnie,F
Faith,F
Gene,F
Jenny,F
Louvenia,F
Lyda,F
Nova,F
Pattie,F
Verona,F
Winnifred,F
Zona,F
Berta,F
Ellie,F
Eulalia,F
Ruthie,F
Sofia,F
Violette,F
Adelia,F
Aletha,F
Alfreda,F
Audie,F
Delphine,F
Emmie,F
Evalyn,F
Exie,F
George,F
Ira,F
Kattie,F
Leonora,F
Lucretia,F
Maxie,F
Renee,F
Rosamond,F
Rosia,F
Verdie,F
Alverta,F
Bethel,F
Enid,F
Florida,F
Lupe,F
Macie,F
Norine,F
Antonette,F
Beverly,F
Celestine,F
Elizebeth,F
Elmira,F
Emmer,F
Hertha,F
Hilma,F
Jettie,F
Leslie,F
Lonnie,F
Madaline,F
Mellie,F
William,F
Zenobia,F
Arvilla,F
Clifford,F
Justine,F
Katheryn,F
Treva,F
Velda,F
Velva,F
Anastasia,F
Bonita,F
Dortha,F
Elisa,F
Elouise,F
Ena,F
Kathrine,F
Lavinia,F
Marianne,F
Martina,F
Maybell,F
Melissa,F
Nelda,F
Rosalee,F
Yolanda,F
Adella,F
Alicia,F
Charity,F
Clarissa,F
Cordie,F
Felicia,F
Florene,F
Gail,F
Jackie,F
Judy,F
Susanna,F
Tennie,F
Therese,F
Cathryn,F
Dena,F
Elenora,F
Fairy,F
Germaine,F
Hildred,F
Leonor,F
Libby,F
Mallie,F
Myrle,F
Ressie,F
Signe,F
Augustine,F
Berenice,F
Consuelo,F
Eldora,F
Hedwig,F
Hildegarde,F
Joseph,F
Juliet,F
Kathryne,F
Lera,F
Lilian,F
Mavis,F
Odie,F
Prudence,F
Tena,F
Viva,F
Bell,F
Charles,F
Delilah,F
Delta,F
Dorcas,F
Hellen,F
Mammie,F
Maryann,F
Maye,F
Onie,F
Ouida,F
Rosanna,F
Trudie,F
Vernice,F
Annabel,F
Ardella,F
Berneice,F
Charlene,F
Earnestine,F
Elmer,F
Josefa,F
Mertie,F
Odelia,F
Ozella,F
Rosalia,F
Rossie,F
Amalia,F
Andrea,F
Beaulah,F
Elvie,F
Euna,F
Goldia,F
Henry,F
Jamie,F
Juliana,F
Lea,F
Lilla,F
Luna,F
Marjory,F
Mettie,F
Ova,F
Sammie,F
Versie,F
Vinnie,F
Adaline,F
Alvena,F
Arrie,F
Birtha,F
Carmel,F
Clora,F
Corrie,F
Deborah,F
Deloris,F
Etha,F
Gay,F
Georgina,F
Gladyce,F
Janette,F
Jaunita,F
Lilyan,F
Margarett,F
Margaretta,F
Meda,F
Oda,F
Thora,F
Zadie,F
Adelina,F
Betsy,F
Cathrine,F
Ceola,F
Cleta,F
Daphne,F
Edrie,F
Golden,F
Greta,F
Hazle,F
Icie,F
Lexie,F
Mabelle,F
Mozell,F
Myrl,F
Robert,F
Vena,F
Vincenza,F
Adrienne,F
Annetta,F
Elfrieda,F
Elvina,F
Hassie,F
Ilene,F
Lavada,F
Missouri,F
Myrna,F
Rilla,F
Sadye,F
Serena,F
Theola,F
Vlasta,F
Aggie,F
Annabell,F
Blossom,F
Claribel,F
Cleora,F
Elease,F
Eulah,F
Florrie,F
Freeda,F
Gilda,F
Glennie,F
Ivory,F
Katy,F
Lenna,F
Leonia,F
Loma,F
Lossie,F
Louie,F
Mossie,F
Osie,F
Rafaela,F
Sonia,F
Willia,F
Aili,F
Annis,F
Arlie,F
Buelah,F
Eathel,F
Edyth,F
Elberta,F
Emelia,F
Fae,F
Gladis,F
Hermina,F
Hermine,F
Jonnie,F
Laverna,F
Libbie,F
Liza,F
Neoma,F
Nevada,F
Retta,F
Sibyl,F
Tilda,F
Zoe,F
Alease,F
Angelita,F
Arie,F
Concepcion,F
Dottie,F
Hildegard,F
Jeane,F
Lady,F
Magdalen,F
Marilyn,F
Neta,F
Ottie,F
Rachael,F
Rosalyn,F
Selena,F
Tomasa,F
Twila,F
Veola,F
Zena,F
Aida,F
Allean,F
Almeta,F
Diane,F
Drusilla,F
Earl,F
Eda,F
Eloisa,F
Eugenie,F
Fleta,F
Garnett,F
Gennie,F
Hanna,F
Jossie,F
Kittie,F
Lolita,F
Madonna,F
Marge,F
Naoma,F
Norene,F
Olevia,F
Sabina,F
Tiny,F
Tressa,F
Vella,F
Veva,F
Albertine,F
Amber,F
America,F
Astrid,F
Azalee,F
Bea,F
Bernardine,F
Bette,F
Dimple,F
Enola,F
Eveline,F
Gertha,F
Imelda,F
Ines,F
Lacy,F
Larue,F
Leo,F
Letitia,F
Louis,F
Loyce,F
Macy,F
Marianna,F
Maymie,F
Rutha,F
Sophronia,F
Vennie,F
Adah,F
Adline,F
Alida,F
Almira,F
Ardelia,F
Bula,F
Colleen,F
Creola,F
Dagmar,F
Darlene,F
Elenor,F
Eura,F
Evelyne,F
Flo,F
Frank,F
Gayle,F
Henretta,F
Izora,F
Jesse,F
Jessica,F
Laurel,F
Lavon,F
Leda,F
Lynn,F
Macel,F
Nathalie,F
Nella,F
Reatha,F
Zada,F
Adelle,F
Aimee,F
Anner,F
Bettye,F
Cleola,F
Coral,F
Cordia,F
Dee,F
Elba,F
Evia,F
Flonnie,F
Henriette,F
Josefina,F
Lelah,F
Liddie,F
Linnea,F
Lonie,F
Lovella,F
Mathilde,F
Maureen,F
Odile,F
Roslyn,F
Sister,F
Sula,F
Veta,F
Ammie,F
Antonetta,F
Arietta,F
Cathleen,F
Clarabelle,F
Cleone,F
Colette,F
Daisey,F
Drucilla,F
Edra,F
Electa,F
Erie,F
Eudora,F
Helma,F
Hila,F
Ivah,F
Jerry,F
Joanne,F
Justina,F
Lorean,F
Lurline,F
Mahala,F
Margarete,F
Margrett,F
Matilde,F
Meredith,F
Otelia,F
Ozie,F
Rozella,F
Salome,F
Shellie,F
Susanne,F
Sydney,F
Vassie,F
Vernon,F
Vira,F
Zita,F
Albertina,F
Alline,F
Annamae,F
Antonina,F
Beatriz,F
Bernetta,F
Buena,F
Carmelita,F
Carroll,F
Ceil,F
Coletta,F
Coralee,F
Delpha,F
Dola,F
Doshie,F
Ellamae,F
Emaline,F
Emeline,F
Erin,F
Ersie,F
Ether,F
Ettie,F
Evelina,F
Everlena,F
Fronie,F
Glenda,F
Ilah,F
Ilo,F
India,F
Inga,F
Joann,F
Johnsie,F
Laurine,F
Leana,F
Leonore,F
Lollie,F
Lucie,F
Mariah,F
Marye,F
Melinda,F
Omie,F
Pat,F
Rosaline,F
Sedonia,F
Silvia,F
Trula,F
Verne,F
Vertie,F
Vita,F
Vola,F
Walter,F
Zera,F
Afton,F
Alleen,F
Anona,F
Ardath,F
Ardelle,F
Arizona,F
Atha,F
Audry,F
Caldonia,F
Christena,F
Clytie,F
Concha,F
Dean,F
Edmonia,F
Elnor,F
Eugene,F
Hessie,F
Icy,F
Izola,F
Josiephine,F
Kizzie,F
Laurene,F
Laurette,F
Lavern,F
Lavonne,F
Leoma,F
Letty,F
Lilie,F
Lissie,F
Luvinia,F
Malissa,F
Marry,F
Merna,F
Nedra,F
Noma,F
Refugia,F
Selina,F
Sigrid,F
Tempie,F
Tinnie,F
Tula,F
Ula,F
Vela,F
Villa,F
Virgil,F
Wava,F
Zelpha,F
Zetta,F
Alexandria,F
Alla,F
Ana,F
Aretha,F
Aurore,F
Birtie,F
Carlotta,F
Carole,F
Celesta,F
Charline,F
Charlsie,F
Dale,F
Dana,F
Dannie,F
Dell,F
Donie,F
Dorathea,F
Earlean,F
Elvia,F
Emelda,F
Emmaline,F
Evalena,F
Gabrielle,F
Genie,F
Herma,F
Hyacinth,F
Irena,F
Isa,F
Isobel,F
Jeanetta,F
Lempi,F
Lilah,F
Luetta,F
Madelon,F
Maebell,F
Margaretha,F
Margurite,F
Milda,F
Modesta,F
Mozella,F
Nealie,F
Neola,F
Nezzie,F
Odette,F
Oneta,F
Palma,F
Paul,F
Rosabelle,F
Rosaria,F
Rosemarie,F
Santa,F
Sena,F
Sheila,F
Syble,F
Sylva,F
Tess,F
Texie,F
Theodosia,F
Theressa,F
Tishie,F
Venice,F
Venus,F
Verta,F
Vilma,F
Willard,F
Yvette,F
Zina,F
Abigail,F
Adda,F
Aleen,F
Alethia,F
Alverna,F
Apolonia,F
Ara,F
Benita,F
Candelaria,F
Cara,F
Celina,F
Chrystal,F
Clarine,F
Classie,F
Clover,F
Corina,F
Dicie,F
Dorathy,F
Dorthea,F
Doshia,F
Edward,F
Emogene,F
Evaline,F
Evelena,F
Florance,F
Gemma,F
Genoveva,F
Glendora,F
Helga,F
Jennette,F
Jule,F
Karen,F
Kathaleen,F
Laurena,F
Lavona,F
Leanna,F
Loree,F
Luisa,F
Lynda,F
Madalene,F
Madelene,F
Maebelle,F
Marylou,F
Maurice,F
Nada,F
Nelia,F
Odella,F
Okla,F
Ozell,F
Pluma,F
Prudie,F
Rea,F
Romaine,F
Roselle,F
Roselyn,F
Ruie,F
Savanah,F
Sidney,F
Sina,F
Susana,F
Thomas,F
Thressa,F
Trinidad,F
Valentine,F
Vashti,F
Vernell,F
Virgia,F
Vonnie,F
Wynona,F
Zell,F
Zeola,F
Alba,F
Allena,F
Alvera,F
Annice,F
Ardis,F
Ardith,F
Aretta,F
Belvia,F
Bertina,F
Besse,F
Blanchie,F
Capitola,F
Cherry,F
Clarinda,F
Cleda,F
Clementina,F
Corrinne,F
Courtney,F
Cressie,F
Dallas,F
Delsie,F
Docia,F
Doretha,F
Earlie,F
Ennis,F
Estefana,F
Ethlyn,F
Etna,F
Etter,F
Evlyn,F
Flavia,F
Floretta,F
Garnette,F
Gertude,F
Gretta,F
Gudrun,F
Hildreth,F
Hollis,F
Illa,F
Ingrid,F
Irine,F
Julian,F
Kathern,F
Laurie,F
Lavera,F
Lorenza,F
Lorette,F
Madalyn,F
Maida,F
Malvina,F
Manda,F
Margarite,F
Margueritte,F
Marquerite,F
Mayola,F
Mignon,F
Monnie,F
Moselle,F
Nanie,F
Nila,F
Noreen,F
Olympia,F
Ophia,F
Paralee,F
Paulina,F
Rella,F
Ruthe,F
Santos,F
Stefania,F
Stephania,F
Svea,F
Terry,F
Theda,F
Tracy,F
Venita,F
Violetta,F
Vivienne,F
Willis,F
Zettie,F
Albert,F
Angelena,F
Arlena,F
Arvella,F
Assunta,F
Azzie,F
Babe,F
Bebe,F
Billy,F
Brooksie,F
Carl,F
Carlota,F
Christene,F
Clella,F
Cleona,F
Clotilde,F
Coy,F
Cruz,F
Curtis,F
Delcie,F
Delfina,F
Dellar,F
Dillie,F
Dina,F
Doreen,F
Ebba,F
Elia,F
Elinore,F
Elmire,F
Elta,F
Elton,F
Elzora,F
Ercie,F
Florice,F
Floris,F
France,F
Genevia,F
Glenn,F
Gregoria,F
Harold,F
Hasel,F
Huldah,F
Idabelle,F
Idamae,F
Inell,F
Izetta,F
Katharyn,F
Kathlyn,F
Lassie,F
Lavelle,F
Lavonia,F
Leita,F
Lelar,F
Leon,F
Lester,F
Lethia,F
Librada,F
Lilia,F
Lorain,F
Louetta,F
Lovey,F
Lucilla,F
Luvina,F
Lyla,F
Mahalia,F
Mannie,F
Marcelle,F
Margot,F
Marybelle,F
Marylee,F
Melanie,F
Mercy,F
Metta,F
Minda,F
Minta,F
Naida,F
Nonie,F
Odelle,F
Olene,F
Olivette,F
Orilla,F
Orlena,F
Ozzie,F
Parlee,F
Parthenia,F
Pearly,F
Perlie,F
Robie,F
Rosebud,F
Roselee,F
Samantha,F
Tennessee,F
Teodora,F
Thyra,F
Tyne,F
Velna,F
Viney,F
Vinia,F
Virda,F
Willetta,F
Williemae,F
Zela,F
Aldine,F
Alexandra,F
Alvie,F
Anniemae,F
Ardell,F
Arlee,F
Arleen,F
Augustina,F
Aura,F
Bama,F
Bernita,F
Bina,F
Birdell,F
Borghild,F
Brownie,F
Burnice,F
Cammie,F
Candida,F
Carlene,F
Carma,F
Catalina,F
Catarina,F
Cathern,F
Chessie,F
Clair,F
Clarabell,F
Cloie,F
Dasie,F
Davie,F
Delight,F
Delila,F
Dinah,F
Domenica,F
Earlene,F
Elida,F
Ellena,F
Emelie,F
Eola,F
Erlinda,F
Erline,F
Felice,F
Florentine,F
Florie,F
Floyd,F
Francies,F
Frederica,F
Fronia,F
Gaynell,F
Gerda,F
Gusta,F
Harry,F
Helmi,F
Hildur,F
Hollie,F
Honora,F
Hortencia,F
Howard,F
Ignacia,F
Imo,F
Ingeborg,F
Isla,F
Jeannetta,F
Jeannie,F
Jodie,F
Jovita,F
Lala,F
Lanie,F
Lattie,F
Lavenia,F
Leaner,F
Lemma,F
Leontine,F
Levina,F
Lillia,F
Lova,F
Loyola,F
Luciel,F
Lular,F
Lynne,F
Malissia,F
Marceline,F
Margert,F
Margrette,F
Marguerita,F
Maryan,F
Maryellen,F
Mattye,F
Media,F
Melvin,F
Micaela,F
Mima,F
Minie,F
Miranda,F
Montie,F
Nelva,F
Nobie,F
Nolia,F
Norah,F
Oliva,F
Oneda,F
Onita,F
Oralee,F
Ortha,F
Otha,F
Otis,F
Ottilie,F
Patty,F
Pearlean,F
Pecola,F
Pernie,F
Petronella,F
Pilar,F
Romana,F
Sada,F
Sallye,F
Simona,F
Stacy,F
Stasia,F
Suzanna,F
Tabitha,F
Thea,F
Theora,F
Thera,F
Tiney,F
Valda,F
Valera,F
Verena,F
Verle,F
Vernetta,F
Vernita,F
Vinie,F
Vista,F
Willene,F
Wilmoth,F
Zelia,F
Zelphia,F
Abby,F
Adelyn,F
Alcie,F
Aleene,F
Aleta,F
Altie,F
Anabel,F
Angelyn,F
Arabella,F
Archie,F
Arlean,F
Ary,F
Avanelle,F
Azalea,F
Beadie,F
Bee,F
Belen,F
Bernie,F
Bert,F
Bettina,F
Beula,F
Blonnie,F
Buna,F
Byrdie,F
Carla,F
Carry,F
Cesaria,F
Christeen,F
Claude,F
Cleva,F
Cliffie,F
Clyda,F
Collie,F
Corda,F
Coretta,F
Delora,F
Devota,F
Elfreda,F
Elgie,F
Elodie,F
Elza,F
Erminia,F
Ernie,F
Erva,F
Ever,F
Everlina,F
Faustina,F
Florinda,F
Gale,F
Gina,F
Girtie,F
Glen,F
Goldye,F
Gracia,F
Henretter,F
Henritta,F
Herlinda,F
Idelle,F
Indiana,F
Inis,F
Inola,F
Isadore,F
Jayne,F
Jeffie,F
Jemima,F
Jessye,F
Jim,F
Julianna,F
Kathyrn,F
Kimiko,F
Lawrence,F
Lella,F
Leoda,F
Lesta,F
Leva,F
Levada,F
Liller,F
Lodema,F
Loise,F
Lorina,F
Louanna,F
Loula,F
Louvinia,F
Luberta,F
Lucyle,F
Luda,F
Luevenia,F
Luise,F
Mabell,F
Mafalda,F
Mai,F
Maisie,F
Mariam,F
Marrie,F
Maudine,F
Mearl,F
Melda,F
Merry,F
Mida,F
Nanette,F
Obie,F
Oletha,F
Olinda,F
Oneida,F
Oneita,F
Onnie,F
Opha,F
Ople,F
Oral,F
Orelia,F
Orene,F
Orrie,F
Orva,F
Osa,F
Ottilia,F
Ovie,F
Pasqualina,F
Patience,F
Penelope,F
Pennie,F
Perry,F
Phebe,F
Phillis,F
Phylis,F
Pollie,F
Portia,F
Rene,F
Reyes,F
Rissie,F
Rochelle,F
Roena,F
Rosario,F
Roy,F
Sam,F
Santina,F
Scottie,F
Shizue,F
Sidonia,F
Sonya,F
Stacia,F
Thekla,F
Theodore,F
Toby,F
Vanda,F
Velmer,F
Versa,F
Vessie,F
Vivien,F
Vonda,F
Wilhemina,F
Will,F
Wylma,F
Zeffie,F
Zenith,F
Zeta,F
Zilpha,F
Addis,F
Agness,F
Albena,F
Albirta,F
Aleda,F
Alethea,F
Alfrieda,F
Algie,F
Allyne,F
Alverda,F
Alvira,F
Annamay,F
Anniebell,F
Antionette,F
Arbie,F
Ardie,F
Ariel,F
Arleta,F
Arletta,F
Armanda,F
Audrie,F
Avery,F
Avie,F
Azilee,F
Becky,F
Belma,F
Beola,F
Berthe,F
Beryle,F
Beuna,F
Calista,F
Candace,F
Carola,F
Caryl,F
Celestia,F
Celine,F
Cherrie,F
Chloie,F
Chrissie,F
Clotilda,F
Columbia,F
Corena,F
Daphna,F
David,F
Denise,F
Dessa,F
Dollye,F
Doloris,F
Dominga,F
Doria,F
Dorsie,F
Dulcie,F
Eartha,F
Ela,F
Elese,F
Elin,F
Ellene,F
Eller,F
Elmina,F
Elmo,F
Elzie,F
Emerald,F
Emmalee,F
Ercell,F
Erdine,F
Ernest,F
Ernestina,F
Esma,F
Esperanza,F
Estel,F
Ethelene,F
Eufemia,F
Eular,F
Eutha,F
Ezzie,F
Fannye,F
Farris,F
Felicita,F
Felipa,F
Flara,F
Fleda,F
Fleeta,F
Floye,F
Fortunata,F
Foy,F
Francine,F
Fred,F
Gabriela,F
Georgeanna,F
Georgette,F
Gordie,F
Gracy,F
Grady,F
Gurtha,F
Hetty,F
Hortence,F
Iantha,F
Ilda,F
Irean,F
Isola,F
Ivalee,F
Jeanie,F
Jeannett,F
Jeraldine,F
Jesusa,F
Johnny,F
Katye,F
Kelly,F
Lacie,F
Lannie,F
Leitha,F
Leocadia,F
Leonarda,F
Leonilda,F
Leotha,F
Levonia,F
Lewis,F
Lita,F
Lloyd,F
Louisiana,F
Lowell,F
Lugenia,F
Lurene,F
Lurine,F
Luz,F
Madgie,F
Madlyn,F
Majorie,F
Malissie,F
Mandie,F
Margeret,F
Mariana,F
Marilla,F
Marlene,F
Marvin,F
Matie,F
Mennie,F
Michael,F
Michelina,F
Mickey,F
Murl,F
Nannette,F
Nealy,F
Nelly,F
Nena,F
Nera,F
Noelie,F
Nonnie,F
Odessia,F
Oleva,F
Olie,F
Ollive,F
Oree,F
Orlean,F
Oscar,F
Otilia,F
Peggie,F
Percy,F
Pheobe,F
Pinkey,F
Pricilla,F
Princess,F
Reather,F
Rebie,F
Refugio,F
Renner,F
Richard,F
Rosana,F
Roseanna,F
Rosita,F
Russell,F
Sharon,F
Simmie,F
Stanley,F
Sweetie,F
Thalia,F
Theta,F
Thomasina,F
Tommy,F
Vadie,F
Vannie,F
Vara,F
Velia,F
Veneta,F
Verneda,F
Vernelle,F
Vienna,F
Vietta,F
Virdie,F
Weltha,F
Wilmer,F
Wilna,F
Yoshiko,F
Yoshino,F
Adelene,F
Adlene,F
Ailene,F
Albertia,F
Aldora,F
Alean,F
Algia,F
Allen,F
Almedia,F
Almer,F
Alphia,F
Alton,F
Alvia,F
Alyne,F
Alys,F
Angel,F
Angelica,F
Antha,F
Arbutus,F
Armida,F
Arnetta,F
Arthur,F
Arville,F
Athena,F
Australia,F
Azalia,F
Azlee,F
Bannie,F
Beatrix,F
Bena,F
Bianca,F
Blannie,F
Bridie,F
Brookie,F
Burma,F
Camelia,F
Camella,F
Canary,F
Carlyn,F
Carolyne,F
Carrol,F
Caterina,F
Cecille,F
Celestina,F
Charlotta,F
Christiana,F
Cinda,F
Cindy,F
Clarabel,F
Claris,F
Clarisse,F
Clela,F
Clemence,F
Climmie,F
Clorinda,F
Clydie,F
Congetta,F
Coralie,F
Cordy,F
Cozy,F
Daisie,F
Dellia,F
Diamond,F
Don,F
Dorine,F
Dorthey,F
Dosha,F
Dot,F
Dove,F
Ebbie,F
Eddith,F
Edner,F
Elcie,F
Elenore,F
Ellar,F
Ellenor,F
Elnore,F
Elverta,F
Elzada,F
Ema,F
Emmy,F
Eppie,F
Erlene,F
Ermal,F
Ermine,F
Estellar,F
Ethyle,F
Eulalie,F
Eupha,F
Evelene,F
Evon,F
Exa,F
Ezella,F
Faun,F
Floria,F
Foye,F
